epoch,acc,loss,lr,mean_absolute_error,val_acc,val_loss,val_mean_absolute_error
0,0.0,12.974234914999403,0.001,2.958892073316325,0.0,13.01957632744149,2.8794826187499583
1,0.0,13.0653878624355,0.001,2.9449855189902077,0.0,13.943968733696089,3.2510824889352876
2,0.0,13.143929370903566,0.001,2.9463524573043376,0.0,15.418091094657166,3.436561751039061
3,0.0,12.701687402622674,0.001,2.916828566066314,0.0,12.617333072505586,2.9892185093605357
4,0.0,13.007303851447748,0.001,2.9504930035492976,0.0,16.788904882457157,3.5468821133652777
5,0.0,12.923281180327573,0.001,2.9523152550610896,0.0,12.84407991905735,3.0388560197124743
6,0.0,13.033097615806005,0.001,2.9294311590092157,0.0,13.344732963875549,2.934036509631431
7,0.0,13.261656882759247,0.001,2.9564823155762046,0.0,25.811432877632036,4.3758580325400995
8,0.0,12.925358753966114,0.001,2.9488962853925385,0.0,12.734497423041356,2.9609230740429604
9,0.0,12.787459008887799,0.001,2.9311489436300486,0.0,13.108014145942583,3.107967579201476
10,0.0,12.80443008411132,0.001,2.921364396398518,0.0,12.646735883738897,2.951208869071856
11,0.0,13.029335925839097,0.001,2.9585118183891894,0.0,17.20169611826335,3.1490355566756367
12,0.0,12.757839012072749,0.001,2.9484899069673274,0.0,12.54529525809092,2.9783945540859276
13,0.0,12.766728346248925,0.001,2.9273806533872073,0.0,13.676779982161849,3.164681261532927
14,0.0,12.649061916793729,0.001,2.913147352075064,0.0,12.591469673261251,2.9545237658775014
15,0.0,13.34931789784937,0.001,2.9896032096054146,0.0,12.702820477420337,2.9907416088940346
16,0.0,12.653989195640552,0.001,2.9053349663401895,0.0,19.914109922435184,3.8661555656015056
17,0.0,12.79872867936546,0.001,2.9588286213794244,0.0,29.2897854112599,4.247552017643027
18,0.0,12.800536767312092,0.001,2.924935902318647,0.0,13.604866929250221,3.2062431230936963
19,0.0,12.985696445428802,0.001,2.940103354725054,0.0,12.436606185076988,2.938255548477173
